id,code,name,account_type,tag_ids,reconcile,name@vi_VN
c133_chart3562,3562,Science and technology development fund used for fixed asset acquisition,liability_current,l10n_vn_viin.account_account_tag_356,,"Quỹ phát triển khoa học công nghệ đã hình thành TSCĐ"
c133_chart411,411,Owner’s invested equity,equity,l10n_vn_viin.account_account_tag_411,,"Vốn đầu tư của chủ sở hữu"
c133_chart4111,4111,Contributed capital,equity,"l10n_vn_viin.account_account_tag_411,l10n_vn_viin.account_account_tag_4111",,"Vốn góp của chủ sở hữu"
c133_chart4112,4112,Capital surplus,equity,"l10n_vn_viin.account_account_tag_411,l10n_vn_viin.account_account_tag_4112",,"Thặng dư vốn cổ phẩn"
c133_chart4118,4118,Other capital,equity,"l10n_vn_viin.account_account_tag_411,l10n_vn_viin.account_account_tag_4118",,"Vốn khác"
c133_chart413,413,Exchange rate differences,equity,l10n_vn_viin.account_account_tag_413,,"Chênh lệch tỷ giá hối đoái"
c133_chart418,418,Other equity funds,equity,l10n_vn_viin.account_account_tag_418_c133,,"Các quỹ thuộc vốn chủ sở hữu"
c133_chart419,419,Treasury shares,equity,l10n_vn_viin.account_account_tag_419,,"Cổ phiếu quỹ"
c133_chart421,421,Undistributed profit after tax,equity,l10n_vn_viin.account_account_tag_421,,"Lợi nhuận sau thuế chưa phân phối"
c133_chart4211,4211,Undistributed profit after tax brought forward,equity,"l10n_vn_viin.account_account_tag_421,l10n_vn_viin.account_account_tag_4211",,"Lợi nhuận sau thuế chưa phân phối năm trước"
c133_chart4212,4212,Undistributed profit (loss) after tax for the current year,equity,"l10n_vn_viin.account_account_tag_421,l10n_vn_viin.account_account_tag_4212",,"Lợi nhuận sau thuế chưa phân phối năm nay"
c133_chart511,511,Revenues,income,l10n_vn_viin.account_account_tag_511,,"Doanh thu bán hàng và cung cấp dịch vụ"
c133_chart5111,5111,Revenue from sales of merchandises,income,l10n_vn_viin.account_account_tag_511,,"Doanh thu bán hàng"
c133_chart5112,5112,Revenue from sales of finished goods,income,l10n_vn_viin.account_account_tag_511,,"Doanh thu bán thành phẩm"
c133_chart5113,5113,Revenue from services rendered,income,l10n_vn_viin.account_account_tag_511,,"Doanh thu cung cấp dịch vụ"
c133_chart5118,5118,Other revenue,income,l10n_vn_viin.account_account_tag_511,,"Doanh thu khác"
c133_chart515,515,Financial income,income_financial,"account.account_tag_financing,l10n_vn_viin.account_account_tag_515",,"Doanh thu hoạt động tài chính"
c133_chart611,611,Purchases (used for periodic inventory systems),expense,l10n_vn_viin.account_account_tag_611,,"Mua hàng"
c133_chart631,631,Production costs,expense_direct_cost,l10n_vn_viin.account_account_tag_631,,"Giá thành sản xuất"
c133_chart632,632,Costs of goods sold,expense_direct_cost,l10n_vn_viin.account_account_tag_632,,"Giá vốn hàng bán"
c133_chart635,635,Financial expenses,expense,"account.account_tag_financing,l10n_vn_viin.account_account_tag_635",,"Chi phí tài chính"
c133_chart642,642,General administration expenses,expense,l10n_vn_viin.account_account_tag_642_c133,,"Chi phí quản lý kinh doanh"
c133_chart6421,6421,Selling expenses,expense,l10n_vn_viin.account_account_tag_6421_c133,,"Chi phí bán hàng"
c133_chart6422,6422,Office supply expenses,expense,l10n_vn_viin.account_account_tag_6422_c133,,"Chi phí quản lý doanh nghiệp"
c133_chart711,711,Other Income,income_other,l10n_vn_viin.account_account_tag_711,,"Thu nhập khác"
c133_chart811,811,Other Expenses,expense,l10n_vn_viin.account_account_tag_811,,"Chi phí khác"
c133_chart821,821,Income tax expense (benefit),expense,l10n_vn_viin.account_account_tag_821,,"Chi phí thuế thu nhập doanh nghiệp"
c133_chart911,911,Income Summary,equity_unaffected,l10n_vn_viin.account_account_tag_911,,"Xác định kết quả kinh doanh"
