id,code,name,account_type,tag_ids,reconcile,name@vi_VN
chart136,136,Intra-company receivables,asset_receivable,l10n_vn_viin.account_account_tag_136,True,"Phải thu nội bộ"
chart1361,1361,,,"l10n_vn_viin.account_account_tag_136,l10n_vn_viin.account_account_tag_1361",,
chart1362,1362,,,"l10n_vn_viin.account_account_tag_136,l10n_vn_viin.account_account_tag_1362",,
chart1363,1363,,,"l10n_vn_viin.account_account_tag_136,l10n_vn_viin.account_account_tag_1363",,
chart1368,1368,,,"l10n_vn_viin.account_account_tag_136,l10n_vn_viin.account_account_tag_1368",,
chart138,138,Other receivables,asset_receivable,l10n_vn_viin.account_account_tag_138,True,"Phải thu khác"
chart1381,1381,,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_138,l10n_vn_viin.account_account_tag_1381",,
chart1385,1385,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_138,l10n_vn_viin.account_account_tag_1385",,
chart1388,1388,Others,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_138,l10n_vn_viin.account_account_tag_1388",,
chart141,141,,,l10n_vn_viin.account_account_tag_141,,
chart151,151,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_151",,
chart152,152,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_152",,
chart153,153,Tools and supplies,asset_current,l10n_vn_viin.account_account_tag_153,False,"Công cụ, dụng cụ"
chart1531,1531,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_153",,
chart1532,1532,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_153",,
chart1533,1533,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_153",,
chart1534,1534,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_153,l10n_vn_viin.account_account_tag_1534",,
chart154,154,Work in progress,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_154",,"Chi phí sản xuất, kinh doanh dở dang"
chart1541,1541,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_154",,
chart1542,1542,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_154",,
chart1543,1543,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_154",,
chart1544,1544,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_154",,
chart155,155,Finished goods,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_155",False,"Thành phẩm"
chart1551,1551,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_155",,
chart1557,1557,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_155",,
chart156,156,Merchandise inventories,asset_current,l10n_vn_viin.account_account_tag_156,False,"Hàng hóa"
chart1561,1561,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_156",,
chart1562,1562,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_156",,
chart1567,1567,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_156",,
chart157,157,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_157",,
chart158,158,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_158",,
chart161,161,Non-business expenditure out of funds received from the State,asset_current,l10n_vn_viin.account_account_tag_161,False,"Chi sự nghiệp"
chart1611,1611,,,l10n_vn_viin.account_account_tag_161,,
chart1612,1612,,,l10n_vn_viin.account_account_tag_161,,
chart171,171,,,l10n_vn_viin.account_account_tag_171,,
chart211,211,Tangible fixed assets,asset_fixed,l10n_vn_viin.account_account_tag_211,False,"Tài sản cố định hữu hình"
chart2111,2111,,asset_fixed,"l10n_vn_viin.account_account_tag_211,l10n_vn_viin.account_account_tag_2111",,
chart2112,2112,,asset_fixed,l10n_vn_viin.account_account_tag_211,,
chart2113,2113,,asset_fixed,l10n_vn_viin.account_account_tag_211,,
chart2114,2114,,asset_fixed,l10n_vn_viin.account_account_tag_211,,
chart2115,2115,,asset_fixed,l10n_vn_viin.account_account_tag_211,,
chart2118,2118,,asset_fixed,l10n_vn_viin.account_account_tag_211,,
chart212,212,Finance lease fixed assets,asset_fixed,l10n_vn_viin.account_account_tag_212,False,"Tài sản cố định thuê tài chính"
chart2121,2121,,asset_fixed,l10n_vn_viin.account_account_tag_212,,
